x,y,z
1.525165,0.042868,-0.026632
1.513974,0.042554,0.405828
1.258946,0.039564,-0.337500
1.525015,0.047926,0.026632
1.534850,0.048235,-0.354523
1.539127,0.048369,0.080702
1.536470,0.048286,-0.298807
1.539357,0.048376,0.134743
1.524238,0.047901,-0.241535
1.541656,0.048448,0.189385
1.537687,0.048324,-0.188897
1.524238,0.047901,0.241535
1.529400,0.048063,-0.133871
1.518809,0.047730,0.295372
1.549108,0.048683,-0.081225
1.529006,0.048051,0.353173
1.533009,0.048177,-0.026772
1.502239,0.047210,0.402722
1.274393,0.040049,-0.341641
1.517020,0.047674,0.026493
1.538745,0.048357,-0.355423
1.539127,0.048369,0.080702
1.526658,0.047977,-0.296899
1.523426,0.047876,0.133348
1.522264,0.047839,-0.241222
1.541656,0.048448,0.189385
1.541656,0.048448,-0.189385
1.532136,0.048149,0.242786
1.537366,0.048314,-0.134568
1.510960,0.047484,0.293846
1.543119,0.048494,-0.080911
1.529006,0.048051,0.353173
1.537007,0.048302,-0.026842
1.521548,0.047817,0.407899
1.258946,0.039564,-0.337500
1.525015,0.047926,0.026632
1.534850,0.048235,-0.354523
1.539127,0.048369,0.080702
1.536470,0.048286,-0.298807
1.539357,0.048376,0.134743
1.524238,0.047901,-0.241535
1.541656,0.048448,0.189385
1.537687,0.048324,-0.188897
1.524238,0.047901,0.241535
1.529400,0.048063,-0.133871
1.518809,0.047730,0.295372
1.549108,0.048683,-0.081225
1.529006,0.048051,0.353173
1.533009,0.048177,-0.026772
1.502239,0.047210,0.402722
1.274393,0.040049,-0.341641
1.517020,0.047674,0.026493
1.538745,0.048357,-0.355423
1.539127,0.048369,0.080702
1.526658,0.047977,-0.296899
1.523426,0.047876,0.133348
1.522264,0.047839,-0.241222
1.541656,0.048448,0.189385
1.541656,0.048448,-0.189385
1.532136,0.048149,0.242786
1.537366,0.048314,-0.134568
1.510960,0.047484,0.293846
1.543119,0.048494,-0.080911
1.529006,0.048051,0.353173
1.537007,0.048302,-0.026842
1.521548,0.047817,0.407899
1.249147,0.043621,-0.334912
1.518843,0.053039,0.026528
1.526882,0.053320,-0.352723
1.526972,0.053323,0.080074
1.542178,0.053854,-0.299952
1.553117,0.054236,0.135963
1.529984,0.053428,-0.242473
1.533542,0.053552,0.188410
1.539493,0.053760,-0.189141
1.535907,0.053635,0.243412
1.549135,0.054097,-0.135614
1.510785,0.052758,0.293846
1.532961,0.053532,-0.080388
1.524934,0.053252,0.352273
1.544823,0.053946,-0.026981
1.515580,0.052925,0.406346
1.268453,0.044295,-0.340088
1.524838,0.053249,0.026632
1.526882,0.053320,-0.352723
1.526972,0.053323,0.080074
1.526482,0.053306,-0.296899
1.535196,0.053610,0.134394
1.529984,0.053428,-0.242473
1.535525,0.053622,0.188654
1.529574,0.053414,-0.187923
1.531958,0.053497,0.242786
1.549135,0.054097,-0.135614
1.516671,0.052963,0.294991
1.536953,0.053672,-0.080597
1.513249,0.052844,0.349574
1.538827,0.053737,-0.026877
1.527164,0.053330,0.409452
1.249147,0.043621,-0.334912
1.518843,0.053039,0.026528
1.526882,0.053320,-0.352723
1.526972,0.053323,0.080074
1.542178,0.053854,-0.299952
1.553117,0.054236,0.135963
1.529984,0.053428,-0.242473
1.533542,0.053552,0.188410
1.539493,0.053760,-0.189141
1.535907,0.053635,0.243412
1.549135,0.054097,-0.135614
1.510785,0.052758,0.293846
1.532961,0.053532,-0.080388
1.524934,0.053252,0.352273
1.544823,0.053946,-0.026981
1.515580,0.052925,0.406346
1.268453,0.044295,-0.340088
1.524838,0.053249,0.026632
1.526882,0.053320,-0.352723
1.526972,0.053323,0.080074
1.526482,0.053306,-0.296899
1.535196,0.053610,0.134394
1.529984,0.053428,-0.242473
1.535525,0.053622,0.188654
1.529574,0.053414,-0.187923
1.531958,0.053497,0.242786
1.549135,0.054097,-0.135614
1.516671,0.052963,0.294991
1.536953,0.053672,-0.080597
1.513249,0.052844,0.349574
1.538827,0.053737,-0.026877
1.527164,0.053330,0.409452
1.270222,0.048797,-0.340606
1.528639,0.058724,0.026702
1.534475,0.058949,-0.354523
1.534760,0.058960,0.080493
1.532171,0.058860,-0.298044
1.535000,0.058969,0.134394
1.541632,0.059224,-0.244351
1.541280,0.059210,0.189385
1.533345,0.058905,-0.188410
1.527815,0.058693,0.242161
1.544955,0.059351,-0.135266
1.526286,0.058634,0.296899
1.546735,0.059420,-0.081121
1.524739,0.058575,0.352273
1.530638,0.058801,-0.026737
1.519246,0.058364,0.407381
1.254778,0.048204,-0.336465
1.536632,0.059031,0.026842
1.538370,0.059098,-0.355423
1.538752,0.059113,0.080702
1.530210,0.058785,-0.297662
1.527036,0.058663,0.133697
1.535710,0.058996,-0.243412
1.543264,0.059286,0.189629
1.537313,0.059058,-0.188897
1.527815,0.058693,0.242161
1.540973,0.059198,-0.134917
1.518439,0.058333,0.295372
1.526777,0.058653,-0.080074
1.528633,0.058724,0.353173
1.534634,0.058955,-0.026807
1.509594,0.057993,0.404793
1.270222,0.048797,-0.340606
1.528639,0.058724,0.026702
1.534475,0.058949,-0.354523
1.534760,0.058960,0.080493
1.532171,0.058860,-0.298044
1.535000,0.058969,0.134394
1.541632,0.059224,-0.244351
1.541280,0.059210,0.189385
1.533345,0.058905,-0.188410
1.527815,0.058693,0.242161
1.544955,0.059351,-0.135266
1.526286,0.058634,0.296899
1.546735,0.059420,-0.081121
1.524739,0.058575,0.352273
1.530638,0.058801,-0.026737
1.519246,0.058364,0.407381
1.254778,0.048204,-0.336465
1.536632,0.059031,0.026842
1.538370,0.059098,-0.355423
1.538752,0.059113,0.080702
1.530210,0.058785,-0.297662
1.527036,0.058663,0.133697
1.535710,0.058996,-0.243412
1.543264,0.059286,0.189629
1.537313,0.059058,-0.188897
1.527815,0.058693,0.242161
1.540973,0.059198,-0.134917
1.518439,0.058333,0.295372
1.526777,0.058653,-0.080074
1.528633,0.058724,0.353173
1.534634,0.058955,-0.026807
1.509594,0.057993,0.404793
1.266183,0.053069,-0.339571
1.514440,0.063474,0.026458
1.534260,0.064305,-0.354523
1.538536,0.064484,0.080702
1.537841,0.064455,-0.299189
1.548719,0.064911,0.135614
1.527600,0.064025,-0.242161
1.543047,0.064673,0.189629
1.541064,0.064590,-0.189385
1.531548,0.064191,0.242786
1.536775,0.064410,-0.134568
1.516264,0.063550,0.294991
1.544523,0.064735,-0.081016
1.532313,0.064223,0.354073
1.534419,0.064311,-0.026807
1.517104,0.063585,0.406864
1.258462,0.052745,-0.337500
1.524429,0.063893,0.026632
1.530366,0.064141,-0.353623
1.538536,0.064484,0.080702
1.535880,0.064372,-0.298807
1.534785,0.064327,0.134394
1.533521,0.064274,-0.243099
1.525197,0.063925,0.187435
1.537097,0.064423,-0.188897
1.531548,0.064191,0.242786
1.548719,0.064911,-0.135614
1.520187,0.063715,0.295754
1.518581,0.063647,-0.079655
1.524525,0.063897,0.352273
1.538415,0.064479,-0.026877
1.513243,0.063424,0.405828
1.266183,0.053069,-0.339571
1.514440,0.063474,0.026458
1.534260,0.064305,-0.354523
1.538536,0.064484,0.080702
1.537841,0.064455,-0.299189
1.548719,0.064911,0.135614
1.527600,0.064025,-0.242161
1.543047,0.064673,0.189629
1.541064,0.064590,-0.189385
1.531548,0.064191,0.242786
1.536775,0.064410,-0.134568
1.516264,0.063550,0.294991
1.544523,0.064735,-0.081016
1.532313,0.064223,0.354073
1.534419,0.064311,-0.026807
1.517104,0.063585,0.406864
1.258462,0.052745,-0.337500
1.524429,0.063893,0.026632
1.530366,0.064141,-0.353623
1.538536,0.064484,0.080702
1.535880,0.064372,-0.298807
1.534785,0.064327,0.134394
1.533521,0.064274,-0.243099
1.525197,0.063925,0.187435
1.537097,0.064423,-0.188897
1.531548,0.064191,0.242786
1.548719,0.064911,-0.135614
1.520187,0.063715,0.295754
1.518581,0.063647,-0.079655
1.524525,0.063897,0.352273
1.538415,0.064479,-0.026877
1.513243,0.063424,0.405828
1.264070,0.057180,-0.339053
1.526207,0.069038,0.026667
1.534039,0.069392,-0.354523
1.526342,0.069044,0.080074
1.541542,0.069731,-0.299952
1.538544,0.069596,0.134743
1.533300,0.069359,-0.243099
1.534892,0.069431,0.188654
1.534892,0.069431,-0.188654
1.535273,0.069448,0.243412
1.548496,0.070046,-0.135614
1.521929,0.068844,0.296136
1.530333,0.069224,-0.080283
1.516518,0.068599,0.350474
1.538193,0.069580,-0.026877
1.518814,0.068703,0.407381
1.267930,0.057355,-0.340088
1.534197,0.069399,0.026807
1.534039,0.069392,-0.354523
1.534323,0.069405,0.080493
1.525852,0.069022,-0.296899
1.534563,0.069416,0.134394
1.537247,0.069537,-0.243725
1.544807,0.069879,0.189872
1.538858,0.069610,-0.189141
1.523433,0.068912,0.241535
1.548496,0.070046,-0.135614
1.529774,0.069199,0.297662
1.544299,0.069856,-0.081016
1.524305,0.068952,0.352273
1.528204,0.069128,-0.026702
1.520744,0.068791,0.407899
1.264070,0.057180,-0.339053
1.526207,0.069038,0.026667
1.534039,0.069392,-0.354523
1.526342,0.069044,0.080074
1.541542,0.069731,-0.299952
1.538544,0.069596,0.134743
1.533300,0.069359,-0.243099
1.534892,0.069431,0.188654
1.534892,0.069431,-0.188654
1.535273,0.069448,0.243412
1.548496,0.070046,-0.135614
1.521929,0.068844,0.296136
1.530333,0.069224,-0.080283
1.516518,0.068599,0.350474
1.538193,0.069580,-0.026877
1.518814,0.068703,0.407381
1.267930,0.057355,-0.340088
1.534197,0.069399,0.026807
1.534039,0.069392,-0.354523
1.534323,0.069405,0.080493
1.525852,0.069022,-0.296899
1.534563,0.069416,0.134394
1.537247,0.069537,-0.243725
1.544807,0.069879,0.189872
1.538858,0.069610,-0.189141
1.523433,0.068912,0.241535
1.548496,0.070046,-0.135614
1.529774,0.069199,0.297662
1.544299,0.069856,-0.081016
1.524305,0.068952,0.352273
1.528204,0.069128,-0.026702
1.520744,0.068791,0.407899
1.246497,0.060746,-0.334394
1.533946,0.074754,0.026807
1.543519,0.075221,-0.356772
1.542051,0.075149,0.080911
1.529523,0.074539,-0.297662
